CT001|KHT001|10/12/2025|500000|1000000|300000
CT002|KHT001|11/12/2025|500000|1000000|200000
CT003|KHT001|12/12/2025|600000|1000000|250000
CT004|KHT002|20/01/2025|1000000|2000000|500000
CT005|KHT002|21/01/2025|1000000|2000000|400000
CT006|KHT002|22/01/2025|1100000|2000000|450000
CT007|KHT002|23/01/2025|1000000|2000000|500000
CT008|KHT002|24/01/2025|1200000|2000000|600000
CT009|KHT003|01/03/2025|600000|1200000|400000
CT010|KHT003|02/03/2025|700000|1200000|300000
CT011|KHT003|03/03/2025|600000|1200000|350000
CT012|KHT003|04/03/2025|700000|1200000|400000
CT013|KHT004|15/04/2025|1500000|3000000|1000000
CT014|KHT004|16/04/2025|1500000|3000000|1200000
CT015|KHT004|17/04/2025|1600000|3000000|1100000
CT016|KHT004|18/04/2025|1500000|3000000|1000000
CT017|KHT004|19/04/2025|1700000|3000000|1300000
CT018|KHT005|20/12/2025|500000|1000000|300000
CT019|KHT005|21/12/2025|550000|1000000|200000
CT020|KHT005|22/12/2025|500000|1000000|250000
CT021|KHT006|05/01/2025|700000|1500000|400000
CT022|KHT006|06/01/2025|700000|1500000|300000
CT023|KHT006|07/01/2025|800000|1500000|350000
CT024|KHT007|10/02/2025|500000|1000000|300000
CT025|KHT007|11/02/2025|500000|1000000|250000
CT026|KHT007|12/02/2025|600000|1000000|300000
CT027|KHT007|13/02/2025|500000|1000000|200000
CT028|KHT008|12/03/2025|400000|800000|200000
CT029|KHT008|13/03/2025|400000|800000|150000
CT030|KHT009|20/04/2025|1000000|2500000|800000
CT031|KHT009|21/04/2025|1100000|2500000|700000
CT032|KHT009|22/04/2025|1200000|2500000|800000
CT033|KHT009|23/04/2025|1000000|2500000|750000
CT034|KHT009|24/04/2025|1300000|2500000|850000
CT035|KHT010|01/05/2025|600000|1300000|350000
CT036|KHT010|02/05/2025|700000|1300000|300000
CT037|KHT010|03/05/2025|600000|1300000|350000
CT038|KHT010|04/05/2025|700000|1300000|400000
CT039|KHT011|10/06/2025|2000000|5000000|1500000
CT040|KHT011|11/06/2025|2000000|5000000|1400000
CT041|KHT011|12/06/2025|2100000|5000000|1500000
CT042|KHT011|13/06/2025|2200000|5000000|1600000
CT043|KHT011|14/06/2025|2000000|5000000|1500000
CT044|KHT011|15/06/2025|2300000|5000000|1700000
CT045|KHT011|16/06/2025|2000000|5000000|1500000
CT046|KHT012|05/01/2025|500000|1000000|300000
CT047|KHT012|06/01/2025|500000|1000000|200000
CT048|KHT012|07/01/2025|500000|1000000|250000
CT049|KHT013|05/02/2025|1000000|2000000|500000
CT050|KHT013|06/02/2025|1000000|2000000|400000
CT051|KHT013|07/02/2025|1100000|2000000|450000
CT052|KHT013|08/02/2025|1000000|2000000|500000
CT053|KHT013|09/02/2025|1200000|2000000|600000
CT054|KHT014|15/03/2025|700000|1200000|400000
CT055|KHT014|16/03/2025|600000|1200000|300000
CT056|KHT014|17/03/2025|700000|1200000|350000
CT057|KHT014|18/03/2025|600000|1200000|400000
CT058|KHT015|25/04/2025|1500000|3000000|1000000
CT059|KHT015|26/04/2025|1500000|3000000|1200000
CT060|KHT015|27/04/2025|1600000|3000000|1100000
CT061|KHT015|28/04/2025|1500000|3000000|1000000
CT062|KHT015|29/04/2025|1700000|3000000|1300000
CT063|KHT016|15/01/2025|700000|1500000|400000
CT064|KHT016|16/01/2025|700000|1500000|300000
CT065|KHT016|17/01/2025|800000|1500000|350000
CT066|KHT025|21/05/2025|700000|1300000|350000
CT067|KHT017|20/02/2025|500000|1000000|300000
CT068|KHT017|21/02/2025|500000|1000000|250000
CT069|KHT017|22/02/2025|600000|1000000|300000
CT070|KHT017|23/02/2025|500000|1000000|200000
CT071|KHT018|22/03/2025|400000|800000|200000
CT072|KHT018|23/03/2025|400000|800000|150000
CT073|KHT019|30/04/2025|1000000|2500000|800000
CT074|KHT019|01/05/2025|1100000|2500000|700000
CT075|KHT019|02/05/2025|1200000|2500000|800000
CT076|KHT019|03/05/2025|1000000|2500000|750000
CT077|KHT019|04/05/2025|1300000|2500000|850000
CT078|KHT020|11/05/2025|600000|1300000|350000
CT079|KHT020|12/05/2025|700000|1300000|300000
CT080|KHT020|13/05/2025|600000|1300000|350000
CT081|KHT020|14/05/2025|700000|1300000|400000
CT082|KHT021|20/06/2025|2000000|5000000|1500000
CT083|KHT021|21/06/2025|2000000|5000000|1400000
CT084|KHT021|22/06/2025|2100000|5000000|1500000
CT085|KHT021|23/06/2025|2200000|5000000|1600000
CT086|KHT021|24/06/2025|2000000|5000000|1500000
CT087|KHT021|25/06/2025|2300000|5000000|1700000
CT088|KHT021|26/06/2025|2000000|5000000|1500000
CT089|KHT022|15/01/2025|500000|1000000|300000
CT090|KHT022|16/01/2025|500000|1000000|200000
CT091|KHT022|17/01/2025|500000|1000000|250000
CT092|KHT023|25/01/2025|700000|1500000|400000
CT093|KHT023|26/01/2025|700000|1500000|300000
CT094|KHT023|27/01/2025|800000|1500000|350000
CT095|KHT024|30/03/2025|400000|800000|200000
CT096|KHT024|31/03/2025|400000|800000|150000
CT097|KHT025|22/05/2025|700000|1300000|300000
CT098|KHT025|23/05/2025|600000|1300000|350000
CT099|KHT025|24/05/2025|700000|1300000|400000
CT100|KHT026|01/06/2025|1000000|2000000|500000
CT101|KHT026|02/06/2025|1000000|2000000|400000
CT102|KHT026|03/06/2025|1100000|2000000|450000
CT103|KHT026|04/06/2025|1000000|2000000|500000
CT104|KHT026|05/06/2025|1200000|2000000|600000
CT105|KHT027|05/06/2025|600000|1200000|400000
CT106|KHT027|06/06/2025|700000|1200000|300000
CT107|KHT027|07/06/2025|600000|1200000|350000
CT108|KHT027|08/06/2025|700000|1200000|400000
CT109|KHT028|15/06/2025|1500000|3000000|1000000
CT110|KHT028|16/06/2025|1500000|3000000|1200000
CT111|KHT028|17/06/2025|1600000|3000000|1100000
CT112|KHT028|18/06/2025|1500000|3000000|1000000
CT113|KHT028|19/06/2025|1700000|3000000|1300000
